"","listings1$id","host_response_time","host_neighbourhood","zipcode","host_is_superhost","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","bed_type","calendar_updated","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month","days_btwn_host_review","days_since_last_review","days_since_1st_review","host_response_rate","host_acceptance_rate","host_listings_count","accommodates","bathrooms","bedrooms","beds","price","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","calculated_host_listings_count","count_host_verf","count_amen","days_host_since","weekly_price","monthly_price","security_deposit","cleaning_fee"
"2179",2410846,"within a few hours","Downtown","2108","f","['email', 'phone', 'reviews', 'jumio']","t","t","Downtown","t","Apartment","Entire home/apt","Real Bed","a week ago","f","strict","f","f",90,9,9,10,10,10,9,0.22,682,122,839,0.97,0.84,11,2,1,1,1,150,1,1,14,1125,10,24,54,329,6,7,4,16,1521,NA,3400,500,200
"2180",12830117,"NA","Downtown","2109","f","['email', 'phone', 'kba']","t","f","Downtown","t","Villa","Entire home/apt","Real Bed","3 weeks ago","f","flexible","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.94,1,4,1,1,1,287,1,1,7,7,3,3,3,3,0,1,3,14,152,NA,NA,NA,NA
"2181",2573685,"within a few hours","Allston-Brighton","2114","t","['email', 'phone', 'reviews']","t","f","Downtown","t","Apartment","Entire home/apt","Real Bed","6 days ago","f","strict","f","f",96,10,10,10,10,10,10,0.19,1190,152,807,1,0.87,12,4,1,1,2,249,2,17,3,60,4,14,33,296,5,12,3,17,1997,NA,NA,NA,NA
"2182",7832890,"within a few hours","Beacon Hill","2114","f","['email', 'phone', 'reviews', 'jumio']","t","t","Downtown","t","Apartment","Entire home/apt","Real Bed","5 weeks ago","f","strict","f","f",100,10,9,10,10,9,9,0.63,604,77,119,1,0.91,52,2,1,0,1,155,1,1,7,1125,3,10,33,308,2,50,4,8,723,NA,NA,NA,225
"2183",13730500,"within a day","Downtown Crossing","2110","f","['email', 'phone', 'reviews']","t","f","Downtown","t","Apartment","Entire home/apt","Pull-out Sofa","2 weeks ago","f","flexible","f","f",93,10,10,9,9,10,9,3.23,516,48,88,0.5,1,1,6,2,2,3,250,1,1,1,1125,0,7,23,23,7,1,3,14,604,NA,NA,100,100
"2184",14303099,"within an hour","Downtown Crossing","2111","f","['email', 'phone', 'jumio']","t","f","Downtown","t","Apartment","Entire home/apt","Real Bed","2 weeks ago","t","strict","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,1,1,4,1,2,2,325,1,1,3,31,7,14,44,313,0,1,3,12,428,NA,NA,NA,NA
"2185",9111413,"within an hour","Downtown Crossing","2111","f","['email', 'phone', 'reviews', 'jumio']","t","t","Downtown","f","Apartment","Entire home/apt","Real Bed","5 weeks ago","f","moderate","f","f",86,10,9,9,9,9,9,5.47,777,42,215,0.97,1,4,3,1,1,1,240,2,17,1,1125,0,19,49,322,35,4,4,10,992,NA,NA,100,50
"2186",11061030,"within a few hours","Financial District","2109","f","['email', 'phone', 'reviews', 'jumio']","t","t","Downtown","t","Villa","Entire home/apt","Real Bed","4 months ago","f","moderate","f","f",100,10,10,10,10,10,10,0.56,177,128,131,1,1,3,4,1,1,2,240,1,1,1,1125,0,0,0,0,2,1,4,14,308,NA,NA,NA,25
"2187",12987348,"within an hour","Financial District","2109","t","['email', 'phone', 'linkedin', 'reviews', 'jumio']","t","t","Downtown","t","Apartment","Entire home/apt","Real Bed","today","f","moderate","f","f",95,10,10,10,10,10,10,8.3,26,26,117,1,0.96,2,6,2,2,3,375,1,1,1,1125,9,24,34,278,26,2,5,15,143,NA,NA,100,80
"2188",8340072,"within an hour","Downtown Crossing","2111","f","['email', 'phone', 'reviews', 'jumio']","t","t","Downtown","t","Apartment","Entire home/apt","Real Bed","3 weeks ago","f","moderate","f","f",90,10,10,10,10,9,9,2.2,22,40,364,1,0.99,4,4,1,1,2,225,2,30,2,1125,2,16,46,137,25,4,4,14,386,NA,NA,300,85
